Category	Asset	Filename	Directory	Size (px)	Transparent	Suggested Prompt
Structure	Barracks tier 2	barracks_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a timber-and-stone barracks with weapon racks. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Barracks tier 3	barracks_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a fortified war-fortress with a portcullis and towers. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Bank tier 1	bank_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a modest coin-changer's house with a strongbox. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Bank tier 2	bank_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a stone bank with a vault door and gold coins. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Bank tier 3	bank_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a grand marble treasury with columns and piled gold. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Mana Core tier 1	mana_core_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a small glowing mana crystal on a pedestal. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Mana Core tier 2	mana_core_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a large faceted arcane gem crackling with energy. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Mana Core tier 3	mana_core_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a towering arcane obelisk radiating mana. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Altar tier 1	altar_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a small candlelit stone shrine. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Altar tier 2	altar_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a runed shrine gate glowing with holy light. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Altar tier 3	altar_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a massive monolithic altar pulsing with power. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Farm tier 1	farm_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a tilled plot with green sprouts. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Farm tier 2	farm_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a golden wheat field with a windmill. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Farm tier 3	farm_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a large prosperous farmstead with barns and a cart. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Field Camp tier 1	field_camp_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a single canvas tent with a campfire. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Field Camp tier 2	field_camp_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a small cluster of army tents and supplies. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Field Camp tier 3	field_camp_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a large fortified encampment with palisades. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Militia	militia.png	mobile/assets/units	512x512	Yes	Game unit icon: a ragtag peasant conscript with a spear and shield. infantry unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Footman	footman.png	mobile/assets/units	512x512	Yes	Game unit icon: a trained swordsman in leather and mail with a shield. infantry unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Archer	archer.png	mobile/assets/units	512x512	Yes	Game unit icon: a light archer drawing a longbow. ranged unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Pikeman	pikeman.png	mobile/assets/units	512x512	Yes	Game unit icon: a soldier braced behind a long pike. infantry unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Crossbowman	crossbowman.png	mobile/assets/units	512x512	Yes	Game unit icon: a soldier aiming a heavy crossbow. ranged unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Heavy Infantry	heavy_infantry.png	mobile/assets/units	512x512	Yes	Game unit icon: an armored soldier in full plate with a large shield and mace. infantry unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Knight	knight.png	mobile/assets/units	512x512	Yes	Game unit icon: a holy knight on an armored warhorse with a lance. cavalry unit, holy element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Mage Apprentice	mage_apprentice.png	mobile/assets/units	512x512	Yes	Game unit icon: a young apprentice mage conjuring a small flame. magic unit, fire element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Cavalier	cavalier.png	mobile/assets/units	512x512	Yes	Game unit icon: a dashing light cavalryman charging with a saber. cavalry unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Battle Mage	battle_mage.png	mobile/assets/units	512x512	Yes	Game unit icon: an armored war-mage wreathed in fire. magic unit, fire element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Paladin	paladin.png	mobile/assets/units	512x512	Yes	Game unit icon: a radiant paladin in gleaming armor with a holy warhammer. cavalry unit, holy element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Archmage Guard	archmage_guard.png	mobile/assets/units	512x512	Yes	Game unit icon: an elite arcane guardian glowing with holy wards. magic unit, holy element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Dragon Slayer	dragon_slayer.png	mobile/assets/units	512x512	Yes	Game unit icon: a legendary warrior with a massive greatsword and dragon-scale cloak. infantry unit, physical element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Explorer	explorer.png	mobile/assets/units	512x512	Yes	Game unit icon: a nimble scout ranger with a map, cloak and light pack. infantry unit, nature element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Ghoul	ghoul.png	mobile/assets/units	512x512	Yes	Game unit icon: a gaunt undead ghoul with claws, sickly green. infantry unit, void element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Shade	shade.png	mobile/assets/units	512x512	Yes	Game unit icon: a swift shadowy void wraith-figure, semi-transparent. infantry unit, void element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Wraith	wraith.png	mobile/assets/units	512x512	Yes	Game unit icon: a tormented spectral wraith trailing dark mist. magic unit, void element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Storm Wisp	storm_wisp.png	mobile/assets/units	512x512	Yes	Game unit icon: a small crackling ball of blue storm energy. flying unit, water element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Thunderbird	thunderbird.png	mobile/assets/units	512x512	Yes	Game unit icon: a huge storm-born raptor wreathed in lightning. flying unit, water element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Phoenix	phoenix.png	mobile/assets/units	512x512	Yes	Game unit icon: a majestic flaming phoenix in flight. flying unit, fire element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Fire Elemental	fire_elemental.png	mobile/assets/units	512x512	Yes	Game unit icon: a humanoid living flame elemental. magic unit, fire element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Treant	treant.png	mobile/assets/units	512x512	Yes	Game unit icon: a towering ancient tree guardian with mossy bark. infantry unit, nature element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Earth Golem	earth_golem.png	mobile/assets/units	512x512	Yes	Game unit icon: a massive golem of stone and iron. infantry unit, nature element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Phantom Steed	phantom_steed.png	mobile/assets/units	512x512	Yes	Game unit icon: a ghostly glowing spectral horse. cavalry unit, holy element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Mirror Knight	mirror_knight.png	mobile/assets/units	512x512	Yes	Game unit icon: an illusory knight of mirrored crystal armor. infantry unit, holy element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	General Kael	general_kael.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a grizzled veteran human general in battered plate armor, scarred, commanding. physical-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Archmage Valerius	archmage_valerius.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: an old master archmage with a fiery staff and burning eyes. fire-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Ranger Sylas	ranger_sylas.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a hooded elven ranger with a longbow, woodland cloak. nature-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Lady Seraphine	lady_seraphine.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a radiant oracle priestess in white and gold with a halo of light. holy-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Morgrim the Deathless	morgrim_the_deathless.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a lich-lord in tattered robes with a skull crown, purple necrotic energy. void-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Captain Thorne	captain_thorne.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a stern mercenary captain in practical armor with a sword and cape. physical-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Skyla Stormrider	skyla_stormrider.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a bold warrior woman riding the winds, crackling with lightning. water-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Hero	Sir Aldric	sir_aldric.png	mobile/assets/heroes	512x512	Yes	Legendary hero character portrait icon: a noble knight-errant in ornate holy armor with a lance and pennant. holy-themed, ornate, epic, distinct silhouette, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Spell	General spell backdrop	general.png	mobile/assets/spells	1200x500	No	Wide spell-card backdrop illustration themed to neutral arcane grey/white magic, glowing runes and scrolls. Atmospheric, no text, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Spell	Pyromancer spell backdrop	pyromancer.png	mobile/assets/spells	1200x500	No	Wide spell-card backdrop illustration themed to destructive red-orange fire magic, embers and flame. Atmospheric, no text, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Spell	Mindweaver spell backdrop	mindweaver.png	mobile/assets/spells	1200x500	No	Wide spell-card backdrop illustration themed to blue illusion and mind magic, swirling psychic patterns. Atmospheric, no text, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Spell	Geomancer spell backdrop	geomancer.png	mobile/assets/spells	1200x500	No	Wide spell-card backdrop illustration themed to green earth and nature magic, vines, stone and leaves. Atmospheric, no text, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Spell	Tempest spell backdrop	tempest.png	mobile/assets/spells	1200x500	No	Wide spell-card backdrop illustration themed to yellow storm and lightning magic, clouds and bolts. Atmospheric, no text, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Spell	Voidwalker spell backdrop	voidwalker.png	mobile/assets/spells	1200x500	No	Wide spell-card backdrop illustration themed to purple void and necrotic magic, dark tendrils and skulls. Atmospheric, no text, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Optional-Crest	Pyromancer crest	crest_pyromancer.png	mobile/assets/affinities	256x256	Yes	Small emblem/crest icon representing the Pyromancer magic school: destructive red-orange fire magic, embers and flame. Simple, iconic, transparent background
Optional-Crest	Mindweaver crest	crest_mindweaver.png	mobile/assets/affinities	256x256	Yes	Small emblem/crest icon representing the Mindweaver magic school: blue illusion and mind magic, swirling psychic patterns. Simple, iconic, transparent background
Optional-Crest	Geomancer crest	crest_geomancer.png	mobile/assets/affinities	256x256	Yes	Small emblem/crest icon representing the Geomancer magic school: green earth and nature magic, vines, stone and leaves. Simple, iconic, transparent background
Optional-Crest	Tempest crest	crest_tempest.png	mobile/assets/affinities	256x256	Yes	Small emblem/crest icon representing the Tempest magic school: yellow storm and lightning magic, clouds and bolts. Simple, iconic, transparent background
Optional-Crest	Voidwalker crest	crest_voidwalker.png	mobile/assets/affinities	256x256	Yes	Small emblem/crest icon representing the Voidwalker magic school: purple void and necrotic magic, dark tendrils and skulls. Simple, iconic, transparent background
Unit	Ember Imp	ember_imp.png	mobile/assets/units	512x512	Yes	Game unit icon: a cackling small imp made of living fire and cinders. magic unit, fire element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Magma Behemoth	magma_behemoth.png	mobile/assets/units	512x512	Yes	Game unit icon: a colossal behemoth of molten rock and dripping lava. infantry unit, fire element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Tide Serpent	tide_serpent.png	mobile/assets/units	512x512	Yes	Game unit icon: a sinuous serpent formed of storm-water and sea foam. magic unit, water element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Storm Titan	storm_titan.png	mobile/assets/units	512x512	Yes	Game unit icon: a towering titan formed of thunderclouds with lightning arcing between its fists. magic unit, water element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Thorn Sprite	thorn_sprite.png	mobile/assets/units	512x512	Yes	Game unit icon: a tiny bramble spirit with thorn needles and glowing green eyes. magic unit, nature element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Mountain Wyrm	mountain_wyrm.png	mobile/assets/units	512x512	Yes	Game unit icon: an ancient serpent with stone scales and moss, coiled like a mountain ridge. infantry unit, nature element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Dream Wisp	dream_wisp.png	mobile/assets/units	512x512	Yes	Game unit icon: a shimmering translucent wisp of dream-light and drifting thought. magic unit, illusion themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Thought Tyrant	thought_tyrant.png	mobile/assets/units	512x512	Yes	Game unit icon: a vast floating psychic entity with a crowned brain-like form and glowing eyes. magic unit, illusion themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Unit	Bone Dragon	bone_dragon.png	mobile/assets/units	512x512	Yes	Game unit icon: a skeletal dragon knit from bones and purple necrotic fire, wings spread. flying unit, void element themed. Full-body, centered, heroic pose, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
